"","exp_phase","age_group","condition","language","random_id","trial_order","noun","corr_noun","marker_used","marker_type","regular_form"
"1","production","adult","3R6E","A","35YNZpbM",1,"geed",TRUE,"ka","R",1
"2","production","adult","3R6E","A","35YNZpbM",2,"norg",TRUE,"ka","R",1
"3","production","adult","3R6E","A","35YNZpbM",3,"daffin",TRUE,"woo","e",0
"4","production","adult","3R6E","A","35YNZpbM",4,"flugit",TRUE,"bae","e",0
"5","production","adult","3R6E","A","35YNZpbM",5,"bleggin",TRUE,"ka","R",1
"6","production","adult","3R6E","A","35YNZpbM",6,"daffin",TRUE,"woo","e",0
"7","production","adult","3R6E","A","35YNZpbM",7,"norg",TRUE,"ka","R",1
"8","production","adult","3R6E","A","35YNZpbM",8,"sep",TRUE,"ka","R",1
"9","production","adult","3R6E","A","35YNZpbM",9,"flugit",TRUE,"bae","e",0
"10","production","adult","3R6E","A","35YNZpbM",10,"sep",TRUE,"ka","R",1
"11","production","adult","3R6E","A","35YNZpbM",11,"geed",TRUE,"ka","R",1
"12","production","adult","3R6E","A","35YNZpbM",12,"bleggin",TRUE,"woo","e",0
"13","production","adult","3R6E","A","bO6mZqJi",1,"norg",TRUE,"ka","R",1
"14","production","adult","3R6E","A","bO6mZqJi",2,"bleggin",TRUE,"ka","R",1
"15","production","adult","3R6E","A","bO6mZqJi",3,"flugit",TRUE,"ka","R",1
"16","production","adult","3R6E","A","bO6mZqJi",4,"sep",TRUE,"ka","R",1
"17","production","adult","3R6E","A","bO6mZqJi",5,"flugit",TRUE,"ka","R",1
"18","production","adult","3R6E","A","bO6mZqJi",6,"norg",TRUE,"ka","R",1
"19","production","adult","3R6E","A","bO6mZqJi",7,"sep",TRUE,"ka","R",1
"20","production","adult","3R6E","A","bO6mZqJi",8,"geed",TRUE,"ka","R",1
"21","production","adult","3R6E","A","bO6mZqJi",9,"daffin",TRUE,"ka","R",1
"22","production","adult","3R6E","A","bO6mZqJi",10,"bleggin",TRUE,"ka","R",1
"23","production","adult","3R6E","A","bO6mZqJi",11,"geed",TRUE,"ka","R",1
"24","production","adult","3R6E","A","bO6mZqJi",12,"daffin",TRUE,"ka","R",1
"25","production","adult","3R6E","A","G2PpiTzF",1,"sep",TRUE,"ka","R",1
"26","production","adult","3R6E","A","G2PpiTzF",2,"bleggin",TRUE,"po","e",0
"27","production","adult","3R6E","A","G2PpiTzF",3,"daffin",TRUE,"ka","R",1
"28","production","adult","3R6E","A","G2PpiTzF",4,"flugit",TRUE,"pa","other",0
"29","production","adult","3R6E","A","G2PpiTzF",5,"geed",TRUE,"la","other",0
"30","production","adult","3R6E","A","G2PpiTzF",6,"sep",TRUE,"ka","R",1
"31","production","adult","3R6E","A","G2PpiTzF",7,"flugit",TRUE,"pa","other",0
"32","production","adult","3R6E","A","G2PpiTzF",8,"norg",TRUE,"ki","other",0
"33","production","adult","3R6E","A","G2PpiTzF",9,"bleggin",TRUE,"ka","R",1
"34","production","adult","3R6E","A","G2PpiTzF",10,"daffin",FALSE,"po","e",0
"35","production","adult","3R6E","A","G2PpiTzF",11,"geed",TRUE,"ka","R",1
"36","production","adult","3R6E","A","G2PpiTzF",12,"norg",TRUE,"po","e",0
"37","production","adult","3R6E","A","LWujrfcs",1,"geed",TRUE,"ka","R",1
"38","production","adult","3R6E","A","LWujrfcs",2,"daffin",TRUE,"muy","e",0
"39","production","adult","3R6E","A","LWujrfcs",3,"flugit",TRUE,"ta","other",0
"40","production","adult","3R6E","A","LWujrfcs",4,"daffin",TRUE,"muy","e",0
"41","production","adult","3R6E","A","LWujrfcs",5,"norg",TRUE,"ta","other",0
"42","production","adult","3R6E","A","LWujrfcs",6,"bleggin",TRUE,"muy","e",0
"43","production","adult","3R6E","A","LWujrfcs",7,"sep",TRUE,"ta","other",0
"44","production","adult","3R6E","A","LWujrfcs",8,"bleggin",TRUE,"ta","other",0
"45","production","adult","3R6E","A","LWujrfcs",9,"geed",TRUE,"muy","e",0
"46","production","adult","3R6E","A","LWujrfcs",10,"norg",TRUE,"ta","other",0
"47","production","adult","3R6E","A","LWujrfcs",11,"sep",TRUE,"muy","e",0
"48","production","adult","3R6E","A","LWujrfcs",12,"flugit",TRUE,"ta","other",0
"49","production","adult","3R6E","A","oNriHsIu",1,"norg",TRUE,"ka","R",1
"50","production","adult","3R6E","A","oNriHsIu",2,"daffin",TRUE,"ka","R",1
"51","production","adult","3R6E","A","oNriHsIu",3,"geed",TRUE,"ka","R",1
"52","production","adult","3R6E","A","oNriHsIu",4,"bleggin",TRUE,"ka","R",1
"53","production","adult","3R6E","A","oNriHsIu",5,"norg",TRUE,"ka","R",1
"54","production","adult","3R6E","A","oNriHsIu",6,"flugit",TRUE,"ka","R",1
"55","production","adult","3R6E","A","oNriHsIu",7,"bleggin",TRUE,"ka","R",1
"56","production","adult","3R6E","A","oNriHsIu",8,"sep",TRUE,"ka","R",1
"57","production","adult","3R6E","A","oNriHsIu",9,"sep",TRUE,"ka","R",1
"58","production","adult","3R6E","A","oNriHsIu",10,"geed",TRUE,"ka","R",1
"59","production","adult","3R6E","A","oNriHsIu",11,"flugit",TRUE,"ka","R",1
"60","production","adult","3R6E","A","oNriHsIu",12,"daffin",TRUE,"ka","R",1
"61","production","adult","3R6E","B","2PbAi1kA",1,"flugit",TRUE,"ka","R",1
"62","production","adult","3R6E","B","2PbAi1kA",2,"norg",TRUE,"lee","e",0
"63","production","adult","3R6E","B","2PbAi1kA",3,"sep",TRUE,"woo","e",0
"64","production","adult","3R6E","B","2PbAi1kA",4,"flugit",TRUE,"ka","R",1
"65","production","adult","3R6E","B","2PbAi1kA",5,"geed",TRUE,"woo","e",0
"66","production","adult","3R6E","B","2PbAi1kA",6,"bleggin",TRUE,"ka","R",1
"67","production","adult","3R6E","B","2PbAi1kA",7,"norg",TRUE,"woo","e",0
"68","production","adult","3R6E","B","2PbAi1kA",8,"daffin",TRUE,"ka","R",1
"69","production","adult","3R6E","B","2PbAi1kA",9,"geed",TRUE,"woo","e",0
"70","production","adult","3R6E","B","2PbAi1kA",10,"bleggin",TRUE,"ka","R",1
"71","production","adult","3R6E","B","2PbAi1kA",11,"daffin",TRUE,"ka","R",1
"72","production","adult","3R6E","B","2PbAi1kA",12,"sep",TRUE,"lee","e",0
"73","production","adult","3R6E","B","93gCNAn0",1,"daffin",TRUE,"ka","R",1
"74","production","adult","3R6E","B","93gCNAn0",2,"bleggin",TRUE,"ka","R",1
"75","production","adult","3R6E","B","93gCNAn0",3,"daffin",TRUE,"ka","R",1
"76","production","adult","3R6E","B","93gCNAn0",4,"bleggin",TRUE,"ka","R",1
"77","production","adult","3R6E","B","93gCNAn0",5,"sep",TRUE,"po","e",0
"78","production","adult","3R6E","B","93gCNAn0",6,"norg",TRUE,"ka","R",1
"79","production","adult","3R6E","B","93gCNAn0",7,"norg",TRUE,"ka","R",1
"80","production","adult","3R6E","B","93gCNAn0",8,"sep",TRUE,"po","e",0
"81","production","adult","3R6E","B","93gCNAn0",9,"geed",TRUE,"ka","R",1
"82","production","adult","3R6E","B","93gCNAn0",10,"flugit",TRUE,"po","e",0
"83","production","adult","3R6E","B","93gCNAn0",11,"flugit",TRUE,"po","e",0
"84","production","adult","3R6E","B","93gCNAn0",12,"geed",TRUE,"ka","R",1
"85","production","adult","3R6E","B","dMwoLJYB",1,"norg",TRUE,"ka","R",1
"86","production","adult","3R6E","B","dMwoLJYB",2,"daffin",TRUE,"wog","other",0
"87","production","adult","3R6E","B","dMwoLJYB",3,"norg",TRUE,"ka","R",1
"88","production","adult","3R6E","B","dMwoLJYB",4,"bleggin",TRUE,"wog","other",0
