"","exp_phase","age_group","condition","language","random_id","trial_order","noun","marker1","marker2","correct_choice","choice","is_correct"
"1","2afc","adult","3R6E","A","DxwjYHuL",0,"mawg","ka","po","ka","ka",1
"2","2afc","adult","3R6E","A","DxwjYHuL",1,"lepal","muy","woo","woo","woo",1
"3","2afc","adult","3R6E","A","DxwjYHuL",2,"lepal","bae","woo","woo","woo",1
"4","2afc","adult","3R6E","A","DxwjYHuL",3,"flairb","po","tay","tay","tay",1
"5","2afc","adult","3R6E","A","DxwjYHuL",4,"zup","lee","ka","lee","ka",0
"6","2afc","adult","3R6E","A","DxwjYHuL",5,"daygin","bae","ka","bae","bae",1
"7","2afc","adult","3R6E","A","DxwjYHuL",6,"flairb","bae","tay","tay","tay",1
"8","2afc","adult","3R6E","A","DxwjYHuL",7,"zup","tay","lee","lee","tay",0
"9","2afc","adult","3R6E","A","DxwjYHuL",8,"glim","woo","ka","ka","ka",1
"10","2afc","adult","3R6E","A","DxwjYHuL",9,"klidam","muy","ka","muy","muy",1
"11","2afc","adult","3R6E","A","DxwjYHuL",10,"tomber","ka","po","po","po",1
"12","2afc","adult","3R6E","A","DxwjYHuL",11,"zup","lee","muy","lee","lee",1
"13","2afc","adult","3R6E","A","DxwjYHuL",12,"glim","ka","po","ka","po",0
"14","2afc","adult","3R6E","A","DxwjYHuL",13,"spad","lee","ka","ka","ka",1
"15","2afc","adult","3R6E","A","DxwjYHuL",14,"spad","ka","tay","ka","ka",1
"16","2afc","adult","3R6E","A","DxwjYHuL",15,"tomber","tay","po","po","po",1
"17","2afc","adult","3R6E","A","DxwjYHuL",16,"klidam","lee","muy","muy","muy",1
"18","2afc","adult","3R6E","A","DxwjYHuL",17,"flairb","tay","lee","tay","tay",1
"19","2afc","adult","3R6E","A","DxwjYHuL",18,"mawg","ka","woo","ka","ka",1
"20","2afc","adult","3R6E","A","DxwjYHuL",19,"daygin","woo","bae","bae","bae",1
"21","2afc","adult","3R6E","A","DxwjYHuL",20,"daygin","po","bae","bae","bae",1
"22","2afc","adult","3R6E","A","DxwjYHuL",21,"spad","ka","bae","ka","ka",1
"23","2afc","adult","3R6E","A","DxwjYHuL",22,"mawg","muy","ka","ka","ka",1
"24","2afc","adult","3R6E","A","DxwjYHuL",23,"klidam","woo","muy","muy","muy",1
