"","exp_phase","age_group","condition","language","random_id","trial_order","noun","corr_noun","marker_used","marker_type","regular_form"
"1","production","adult","3R6E","A","DxwjYHuL",0,"flugit","true","ka","R",1
"2","production","adult","3R6E","A","DxwjYHuL",1,"sep","true","po","e",0
"3","production","adult","3R6E","A","DxwjYHuL",2,"daffin","true","bae","e",0
"4","production","adult","3R6E","A","DxwjYHuL",3,"flugit","true","ka","R",1
"5","production","adult","3R6E","A","DxwjYHuL",4,"geed","true","ka","R",1
"6","production","adult","3R6E","A","DxwjYHuL",5,"sep","true","po","e",0
"7","production","adult","3R6E","A","DxwjYHuL",6,"norg","true","ka","R",1
"8","production","adult","3R6E","A","DxwjYHuL",7,"bleggin","true","muy","e",0
"9","production","adult","3R6E","A","DxwjYHuL",8,"norg","true","ka","R",1
"10","production","adult","3R6E","A","DxwjYHuL",9,"bleggin","true","bae","e",0
"11","production","adult","3R6E","A","DxwjYHuL",10,"daffin","true","ka","R",1
"12","production","adult","3R6E","A","DxwjYHuL",11,"geed","true","ka","R",1
"13","production","adult","3R6E","A","odZmsO2M",0,"norg","true","ka","R",1
"14","production","adult","3R6E","A","odZmsO2M",1,"norg","true","ka","R",1
"15","production","adult","3R6E","A","odZmsO2M",2,"geed","true","po","e",0
"16","production","adult","3R6E","A","odZmsO2M",3,"flugit","true","pa","other",0
"17","production","adult","3R6E","A","odZmsO2M",4,"geed","true","po","e",0
"18","production","adult","3R6E","A","odZmsO2M",5,"daffin","true","ka","R",1
"19","production","adult","3R6E","A","odZmsO2M",6,"sep","true","ka","R",1
"20","production","adult","3R6E","A","odZmsO2M",7,"bleggin","true","ka","R",1
"21","production","adult","3R6E","A","odZmsO2M",8,"sep","true","ka","R",1
"22","production","adult","3R6E","A","odZmsO2M",9,"daffin","true","po","e",0
"23","production","adult","3R6E","A","odZmsO2M",10,"flugit","true","po","e",0
"24","production","adult","3R6E","A","odZmsO2M",11,"bleggin","true","ka","R",1
"25","production","adult","3R6E","A","OVQWa0Xu",0,"flugit","true","ka","R",1
"26","production","adult","3R6E","A","OVQWa0Xu",1,"bleggin","true","ka","R",1
"27","production","adult","3R6E","A","OVQWa0Xu",2,"sep","true","moo","other",0
"28","production","adult","3R6E","A","OVQWa0Xu",3,"norg","true","ka","R",1
"29","production","adult","3R6E","A","OVQWa0Xu",4,"daffin","true","moo","other",0
"30","production","adult","3R6E","A","OVQWa0Xu",5,"geed","true","ka","R",1
"31","production","adult","3R6E","A","OVQWa0Xu",6,"norg","true","ka","R",1
"32","production","adult","3R6E","A","OVQWa0Xu",7,"sep","true","moo","other",0
"33","production","adult","3R6E","A","OVQWa0Xu",8,"daffin","true","more","other",0
"34","production","adult","3R6E","A","OVQWa0Xu",9,"flugit","true","ka","R",1
"35","production","adult","3R6E","A","OVQWa0Xu",10,"bleggin","true","moo","other",0
"36","production","adult","3R6E","A","OVQWa0Xu",11,"geed","true","ka","R",1
"37","production","adult","3R6E","A","zYDmpkV8",0,"bleggin","true","ka","R",1
"38","production","adult","3R6E","A","zYDmpkV8",1,"daffin","true","muy","e",0
"39","production","adult","3R6E","A","zYDmpkV8",2,"geed","true","ka","R",1
"40","production","adult","3R6E","A","zYDmpkV8",3,"norg","true","muy","e",0
"41","production","adult","3R6E","A","zYDmpkV8",4,"flugit","true","ka","R",1
"42","production","adult","3R6E","A","zYDmpkV8",5,"daffin","true","ka","R",1
"43","production","adult","3R6E","A","zYDmpkV8",6,"flugit","true","muy","e",0
"44","production","adult","3R6E","A","zYDmpkV8",7,"sep","true","ka","R",1
"45","production","adult","3R6E","A","zYDmpkV8",8,"norg","true","ka","R",1
"46","production","adult","3R6E","A","zYDmpkV8",9,"bleggin","true","muy","e",0
"47","production","adult","3R6E","A","zYDmpkV8",10,"sep","true","ka","R",1
"48","production","adult","3R6E","A","zYDmpkV8",11,"geed","true","ka","R",1
"49","production","adult","3R6E","B","hFJ6mUoH",0,"sep","true","ka","R",1
